City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,80.49,61,11,3.24,few clouds
1,Kahului,US,20.8947,-156.47,80.62,72,40,12.66,scattered clouds
2,Vila Velha,BR,-20.3297,-40.2925,75.15,55,20,13.8,few clouds
3,Bayeux,BR,-7.125,-34.9322,77.63,83,75,16.11,broken clouds
4,Narsaq,GL,60.9167,-46.05,55.62,66,19,4.07,few clouds
5,Victoria,HK,22.2855,114.1577,85.32,80,70,8.99,broken clouds
6,Paamiut,GL,61.994,-49.6678,40.19,83,100,20.98,overcast clouds
7,Busselton,AU,-33.65,115.3333,50.86,80,42,7.29,scattered clouds
8,Mecca,SA,21.4267,39.8261,92.44,24,14,7.54,few clouds
9,New Norfolk,AU,-42.7826,147.0587,47.91,84,100,3.69,overcast clouds
10,Harper,LR,4.375,-7.7169,79.16,78,84,8.93,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,57.79,55,4,8.72,clear sky
12,Mar Del Plata,AR,-38.0023,-57.5575,56.95,61,0,17.27,clear sky
13,Natal,BR,-5.795,-35.2094,79.02,89,40,12.66,scattered clouds
14,Seymchan,RU,62.8833,152.4333,64.36,74,35,3.4,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,73.63,68,4,7.45,clear sky
16,Asyut,EG,27.181,31.1837,92.89,20,0,9.82,clear sky
17,Barra,BR,-11.0894,-43.1417,86.4,30,4,5.44,clear sky
18,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,77,100,2.3,overcast clouds
19,Bud,US,39.447,-86.1758,80.55,38,18,9.64,few clouds
20,Lebu,CL,-37.6167,-73.65,54.27,89,62,8.95,broken clouds
21,Bubaque,GW,11.2833,-15.8333,82.2,77,72,10.49,broken clouds
22,Nanortalik,GL,60.1432,-45.2371,43.29,79,10,6.26,clear sky
23,Albany,US,42.6001,-73.9662,78.78,53,99,1.99,overcast clouds
24,Port Lincoln,AU,-34.7333,135.8667,51.04,66,50,8.66,scattered clouds
25,Butaritari,KI,3.0707,172.7902,81.39,78,98,13.76,light rain
26,Mataura,NZ,-46.1927,168.8643,31.48,97,75,1.45,broken clouds
27,Lazaro Cardenas,MX,17.9583,-102.2,84.96,71,98,6.62,overcast clouds
