City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tarpon Springs,US,79.2,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
2,Hovd,MN,88.03,few clouds,48.0056,91.6419,Hotel Khovd
6,Faanui,PF,80.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Atuona,PF,77.38,clear sky,-9.8,-139.0333,Villa Enata
9,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
12,Srikakulam,IN,87.22,broken clouds,18.3,83.9,Micro Systems
28,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Villa Altagracia,DO,78.12,few clouds,18.673,-70.171,La Maison de AAVA
31,Naze,JP,79.72,scattered clouds,28.3667,129.4833,Shishime Hotel
34,Hithadhoo,MV,83.14,moderate rain,-0.6,73.0833,Scoop Guest House
42,Bafra,TR,76.82,overcast clouds,41.5678,35.9069,Sevgi Otel
43,Huilong,CN,79.43,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
49,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
58,Isangel,VU,75.38,few clouds,-19.55,169.2667,Tanna Lodge
59,Ontario,US,86.38,clear sky,34.0633,-117.6509,Capri Motel
61,Huaidian,CN,75.54,light rain,33.4333,115.0333,Xihuan Hotel
65,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
68,Erdemli,TR,82.87,clear sky,36.605,34.3084,Sun Rice Otel
69,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Biak,ID,76.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
77,Saint George,US,77.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
86,Sinnamary,GF,75.43,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
89,Tagusao,PH,82.38,moderate rain,9.1924,117.8141,Caycay future beach resort
92,Jiblah,YE,78.55,light rain,13.9216,44.1467,Tiger Tower Hotel
94,Martapura,ID,78.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
97,Musoma,TZ,82.42,few clouds,-1.5,33.8,New Peninsula Hotel
101,Victoria,HK,89.19,overcast clouds,22.2855,114.1577,Mini Central
107,Cabo San Lucas,MX,77.5,clear sky,22.8909,-109.9124,Vista Roof Restaurant
110,Jacareacanga,BR,76.77,clear sky,-6.2222,-57.7528,Casa do Ian😎
117,Panjab,AF,82.09,clear sky,34.388,67.0233,
122,Salalah,OM,83.86,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
123,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
125,Cape Town,ZA,76.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
129,Tezu,IN,75.15,light rain,27.9167,96.1667,Circuit House
136,Mahebourg,MU,77.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
141,Winneba,GH,80.71,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
144,Hirara,JP,82.67,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
155,San Policarpo,PH,80.89,moderate rain,12.1791,125.5072,Agapita M. Nicart
161,Dingtao,CN,79.54,overcast clouds,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
162,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
163,Cururupu,BR,77.11,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
164,Nikolskoye,RU,88.88,clear sky,59.7035,30.7861,Tourist House - Sablino
169,Bambous Virieux,MU,77.22,few clouds,-20.3428,57.7575,Casa Tia Villa
171,Aloleng,PH,79.99,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
172,Dingle,PH,78.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
176,Atasu,KZ,75.87,clear sky,48.6814,71.6433,Dostyk
177,Tual,ID,79.75,light rain,-5.6667,132.75,Grand Vilia Hotel
178,Grand Gaube,MU,77.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
179,Gravdal,NO,76.89,clear sky,68.1214,13.5031,Skreda Rorbusuiter
183,Puerto Castilla,HN,77.4,broken clouds,16.0167,-85.9667,Jito Beach
184,Porto Novo,BJ,82.22,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
190,Kavieng,PG,82.44,light rain,-2.5744,150.7967,Nusa Island Retreat
191,Nouadhibou,MR,82.38,clear sky,20.931,-17.0347,El Medina
195,Sao Filipe,CV,76.48,scattered clouds,14.8961,-24.4956,Hotel Xaguate
196,Mankachar,IN,84.51,overcast clouds,25.5333,89.8667,Shuhan Sahil Hussain
197,Japura,ID,77.94,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
201,San Patricio,US,81.9,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
202,Amli,IN,85.23,moderate rain,20.2833,73.0167,Hotel Soubhagya Inn
203,Abha,SA,89.42,scattered clouds,18.2164,42.5053,Abha Hotel
204,Teguldet,RU,75.04,broken clouds,57.3064,88.1667,
208,Loiza,PR,84.2,haze,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
209,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
210,Noumea,NC,75.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
211,Dhidhdhoo,MV,83.07,overcast clouds,6.8833,73.1,Dhidhoo beach
212,Warangal,IN,80.01,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
217,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
219,Kampot,KH,84.25,scattered clouds,10.6167,104.1833,Two Moons Hotel
222,Sassandra,CI,80.6,light rain,4.95,-6.0833,la terrasse
231,Saldanha,ZA,80.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
232,Tunceli,TR,76.48,few clouds,39.1083,39.5471,Grand Hotel Şaroğlu
234,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
235,Suclayin,PH,75.6,overcast clouds,15.7568,121.5503,Costa Pacifica
236,Perbaungan,ID,82.51,broken clouds,3.5679,98.956,Bendang Lama
239,Along,IN,75.99,moderate rain,28.1667,94.7667,Hotel West
241,Russell,US,76.37,clear sky,32.3502,-85.1999,Macs
242,Funadhoo,MV,83.19,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
243,Vanimo,PG,78.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
246,Axim,GH,80.31,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
250,Jining,CN,77.76,overcast clouds,35.405,116.5814,Yunhe Star Hotel
251,Sulangan,PH,82.78,moderate rain,11.1373,123.7228,Maia's Beach Resort
253,Lorengau,PG,80.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
261,Dergachi,RU,77.38,clear sky,51.2328,48.7659,
263,Siocon,PH,79.34,overcast clouds,7.7061,122.1353,ABS Hotel
268,Vaitape,PF,80.01,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
269,Banda Aceh,ID,80.22,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
